artist,unique_songs,total_streams,songs_rank_1,number_albums,number_countries,avg_danceability,avg_speechiness,avg_acousticness,avg_valence
The Neighbourhood,21,1.568791176E9,0,16,57,0.6054730940714229,0.03343107314704442,0.05443859230124029,0.38157550876263596
Los Legendarios,9,1.566970664E9,1,9,26,0.8341046443268653,0.10181693121693124,0.36109835390946465,0.6427287216669912
Wesley Safadão,59,1.556465217E9,1,52,4,0.6260347411444144,0.08703905540417804,0.2671336171662126,0.7697135558583105
Jawsh 685,6,1.546179612E9,1,4,69,0.7661551206493921,0.0815762370732795,0.2207855165128427,0.7473578894695889
Maren Morris,12,1.544258036E9,1,11,61,0.7416265531837372,0.048088543989804736,0.18482098361476454,0.4312176368849855
Jowell & Randy,23,1.541601564E9,3,13,24,0.7233258618727957,0.1998458338074106,0.05431142640421747,0.7357638715060497
Megan Thee Stallion,29,1.535367734E9,0,14,65,0.8620154855836601,0.2665941892190847,0.018311988053978302,0.6551561094314583
Chance the Rapper,49,1.519180605E9,2,14,62,0.6199337718507837,0.2551104253018556,0.08505488196071365,0.6582100378446571
Os Barões Da Pisadinha,47,1.514787929E9,2,33,4,0.6583925306059197,0.06462214473888116,0.40836438865643876,0.9097656903765683
Tate McRae,14,1.506564871E9,0,14,54,0.6626908075485299,0.05112947349457304,0.6773700851236313,0.14071357023825554
Casper Magico,28,1.503988605E9,1,27,32,0.8221583133887083,0.1670586055187946,0.3315448894833175,0.5456833380261856
Conan Gray,9,1.495787597E9,0,8,65,0.42753342473265654,0.03726432136002204,0.4483109141760369,0.3261788319166435
Machine Gun Kelly,35,1.491478272E9,0,20,65,0.6814755214525027,0.11618646384956254,0.07501374952988211,0.33076126661623273
Dan + Shay,13,1.474654798E9,0,10,59,0.637961331102435,0.026645690029125625,0.15696400817995876,0.43971574642126837
Snow,2,1.469168545E9,1,2,64,0.7369465790259911,0.05855744846130888,0.1129915745443677,0.6537028981177208
Robin Schulz,27,1.451527091E9,1,27,58,0.5719694827847722,0.07553745487638397,0.11958705414833919,0.5279034764143796
SZA,16,1.438073958E9,2,12,67,0.5831041001064972,0.06949903487752924,0.31334864017571884,0.4174800985090522
Jay Wheeler,42,1.429412241E9,1,32,23,0.8239543044077164,0.1536089600550965,0.3548072038567506,0.6688854442148773
RAYE,22,1.428357742E9,0,21,62,0.7768474810213942,0.07482565370753771,0.0941608603634689,0.6667307721800475
Jax Jones,22,1.416377912E9,0,15,59,0.7855211331104189,0.10078059135139211,0.1164577480557536,0.6976654769508207
Mabel,17,1.414304152E9,1,14,48,0.6964430913151599,0.1285702456702198,0.34559955459104186,0.4535540010956132
Childish Gambino,26,1.40853137E9,1,11,64,0.7736570205226662,0.6148700098199672,0.10403329885433714,0.26188532896890426
Samra,101,1.399925785E9,17,67,6,0.6431509278834863,0.32035099835564923,0.31363813953488395,0.5343039112050738
Masked Wolf,6,1.385723868E9,1,7,69,0.7780334044957932,0.09144433002637213,0.17459610699485065,0.47217085269370834
Dynoro,7,1.385298879E9,1,7,61,0.6920981758928149,0.14373166613859623,0.16738275924501023,0.1765389037251608
Gigi D'Agostino,5,1.367758297E9,1,5,61,0.6974261671366532,0.1395271250167856,0.16311122286379354,0.17786647867149982
Trippie Redd,120,1.346697492E9,1,36,48,0.6558573840758536,0.11320748149110277,0.13201594038186776,0.37361028705026633
Alok,47,1.335770665E9,2,48,54,0.7403654429318037,0.05090774888702499,0.30003595586812126,0.43910832956964935
Mustard,7,1.333529571E9,0,5,37,0.7606880177813702,0.09700945645584957,0.27890544857547017,0.20486189129117013
Lil Wayne,71,1.332567167E9,2,28,65,0.6318857975090392,0.21680790478103668,0.19863683386902373,0.622476406187224
